cutsheet_url,pid,year,assessment,taxes
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2008,268200,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2009,284500,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2010,286800,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2011,311100,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2012,324100,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2013,360400,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2014,361300,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2015,366500,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2016,364800,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2017,366300.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2018,368900.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2019,370000.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2020,389400.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2021,395100.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2022,479600.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2023,601200.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2024,633600.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2025,689300.00,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,2026,720800.00,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2008,223800,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2009,242600,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2010,258700,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2011,264000,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2012,253900,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2013,259100,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2014,266800,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2015,267500,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2016,275100,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2017,269400.00,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2018,270100.00,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2019,276200.00,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,2020,273700.00,
