cutsheet_url,pid,listing_id,class_id,ldate,sdate,expdate,dom,lprice,sprice,stid
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,202606395,1,2026-04-07,,2026-04-07,1,899900,,5
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,201906852,1,2019-04-08,2019-04-17,2019-04-17,9,399900,403000,2
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,4996917,1,2014-05-15,,2015-02-28,289,399000,,1
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,4505067,1,2011-11-09,,2012-08-01,207,424900,,3
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,4145316,1,2010-04-12,2010-04-22,2010-07-31,10,329000,326000,2
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,202604115,1,2026-03-09,,2026-03-09,30,619900,,5
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,202513570,1,2025-06-05,,2025-08-22,78,619900,,3
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,4972650,1,2014-04-11,2014-05-05,2014-10-11,24,279900,272500,2
https://www.viewpoint.ca/cutsheet/202604203/1/1-Ingram-River-Lane-Ingramport,00458182,202604203,1,2026-03-10,,2026-03-10,29,498000,,5
https://www.viewpoint.ca/cutsheet/202604203/1/1-Ingram-River-Lane-Ingramport,00458182,4697791,1,2012-10-18,2013-08-16,2013-10-18,302,179500,177000,2
https://www.viewpoint.ca/cutsheet/202604203/1/1-Ingram-River-Lane-Ingramport,00458182,3272172,1,2008-03-27,2008-06-15,2008-07-01,80,163500,155000,2
https://www.viewpoint.ca/cutsheet/202525543/1/38-Lennox-Road-Black-Point,40846701,202525543,1,2025-10-09,,2025-10-09,181,1999900,,5
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,202602615,1,2026-02-12,,2026-02-12,55,969000,,5
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,202515058,1,2025-06-19,,2025-12-04,168,997900,,1
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,202506013,1,2025-03-27,,2025-06-09,74,1099999,,3
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,202417340,1,2024-07-19,,2024-12-14,148,1200000,,1
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,202203847,1,2022-03-10,2022-03-24,2022-03-24,14,699900,1025000,2
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,201801350,1,2018-01-23,2018-03-17,2018-03-19,53,519900,500000,2
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,201510768,1,2015-11-06,,2016-01-19,74,519900,,1
https://www.viewpoint.ca/cutsheet/202602615/1/331-Masons-Point-Road-Head-Of-St-Margarets-Bay,40044216,4928606,1,2013-06-16,,2015-10-13,849,519900,,3
https://www.viewpoint.ca/cutsheet/202604713/1/100-Meisners-Point-Road-Ingramport,40233496,202604713,1,2026-03-16,,2026-03-16,23,824900,,5
https://www.viewpoint.ca/cutsheet/202604713/1/100-Meisners-Point-Road-Ingramport,40233496,202427812,1,2024-12-04,,2026-01-27,419,847000,,3
https://www.viewpoint.ca/cutsheet/202604713/1/100-Meisners-Point-Road-Ingramport,40233496,202413374,1,2024-06-10,,2024-11-29,172,1035000,,1
https://www.viewpoint.ca/cutsheet/202602198/1/8278-St-Margarets-Bay-Road-Black-Point,40020729,202602198,1,2026-02-05,,2026-02-05,62,549000,,5
https://www.viewpoint.ca/cutsheet/202602198/1/8278-St-Margarets-Bay-Road-Black-Point,40020729,202601615,1,2026-01-28,,2026-01-28,70,549000,,5
https://www.viewpoint.ca/cutsheet/202602198/1/8278-St-Margarets-Bay-Road-Black-Point,40020729,202528654,1,2025-11-27,,2026-01-14,48,549000,,3
https://www.viewpoint.ca/cutsheet/202515935/1/7026-St-Margarets-Bay-Road-Boutiliers-Point,41509423,202515935,1,2025-06-27,,2025-06-27,285,3495000,,5
https://www.viewpoint.ca/cutsheet/202515935/1/7026-St-Margarets-Bay-Road-Boutiliers-Point,41509423,202211878,5,2022-05-27,2022-07-29,2022-08-02,63,549900,500000,2
https://www.viewpoint.ca/cutsheet/202606551/1/149-Todds-Island-Road-St-Margaret-039-s-Bay,40043903,202606551,1,2026-04-07,,2026-04-07,1,1375000,,5
https://www.viewpoint.ca/cutsheet/202605153/1/350-Viewmount-Drive-Head-Of-St-Margarets-Bay,00617480,202605153,1,2026-03-23,,2026-03-23,16,1799900,,5
