cutsheet_url,pid,class_id,listing_id,listing_class_id,address,list_price,bedrooms,bathrooms,building_sqft,lot_size_sqft,property_type,style,building_style,building_dimensions,age,bathrooms_fh,total_living_area,prov_parcel_size,rental_income,roof,exterior,foundation,basement,flooring,heating_cooling,fireplace,pool,fuel_supply,drinking_water,sewer,has_garage,parking,waterfront,water_access_view,property_features,land_features,utilities,appliances,inclusions,exclusions,rental_equipment,listed_by,has_pcds,betterment_charges,bank_owned,zoning,mls_zoning,polling_district,waste_collection,by_law_area,assessment_current,tax_expense,tax_rate,aan,views,unique_users,historical_cutsheet_urls,scrape_error
https://www.viewpoint.ca/cutsheet/202513600/2/2070-2072-Oxford-Street-Halifax,00023804,2,202513600,2,"2070/2072 Oxford Street, Halifax",1249900,,,3000,8961,Commercial,,,,85,,,"8,961 sqft",Potential,,,,,,,,,,,,No,paved,No,,,,,,,,,Re/max Nova (halifax),No,,0,MLS ® Zoning,MLS ® Zoning,Halifax West – Armdale,MONDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202603065/3/6045-6047-Williams-Street-Halifax,00141523,3,202603065,3,"6045/6047 Williams Street, Halifax",1250000,,,,4674,Fourplex,,,52 x 26,126,,,"4,194 sqft",,,,,,,,,,,,,No,four spaces,No,,,,,"Dishwasher, Dryer, Range - Electric, Refrigerator, Washer, Washer/Dryer Combo",,tenants belongings,,Domus Realty Limited,No,,0,MLS ® Zoning,MLS ® Zoning,Halifax Peninsula North,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202602395/3/6284-86-Chebucto-Road-Halifax,00133603,3,202602395,3,"6284-86 Chebucto Road, Halifax",990000,,,,3100,Duplex,,,22x46+10x10,166,,,"3,100 sqft",,,,,,,,,,,,,No,there is parking for one car - there have been situation where 2 cars do fit in the driveway,No,,,,,,all appliances,sellers art,,Red Door Realty,Yes,,0,MLS ® Zoning,MLS ® Zoning,Halifax West – Armdale,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202528228/5/6319-Chebucto-Road-Halifax,00133363,5,202528228,5,"6319 Chebucto Road, Halifax",795000,,,,1610,Land & Acreage,,,,,,,"1,610 sqft",,,,,Building Permits,,,,,,,,,,No,,,,,,,,,"Re/max Nova (halifax), Re/max Nova",No,,0,MLS ® Zoning,MLS ® Zoning,Halifax West – Armdale,WEDNESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202602726/3/6229-6231-Allan-Street-Halifax,00139030,3,202602726,3,"6229-6231 Allan Street, Halifax",824900,,,,2759,Duplex,,,38 x 23,105,,,"2,759 sqft",,,,,,,,,,,,,"No, three parking spaces",three parking spaces,No,,,,,"Dishwasher, Dryer, Range - Electric, Washer",,,,Domus Realty Limited,No,,0,MLS ® Zoning,MLS ® Zoning,Halifax West – Armdale,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202604063/3/6028-6030-Cunard-Street-Halifax,00144071,3,202604063,3,"6028/6030 Cunard Street, Halifax",1250000,,,,3011,Duplex,,,22ft x 43ft,80,,,"3,011 sqft",,,,,,,,,,,,,No,"2 parking spaces, one behind property, one on right side between neighbor",No,,,,,"Dishwasher, Dryer, Stove, Washer","Stoves, Fridges, Dishwashers, dryers, heat pumps",Tenant belongings,,Re/max Nova (halifax),No,,0,MLS ® Zoning,MLS ® Zoning,Halifax Peninsula North,TUESDAY by REgroup,Regional Centre By-Law Code: RC,,,,,,,,
https://www.viewpoint.ca/cutsheet/202606395/1/2582-Elm-Street-Halifax,00020644,1,202606395,1,"2582 Elm Street, Halifax",899900,4,1,1659,3398,Single Family,Detached,2 Level,22 x 37.7 =/- jogs,92,1 / 1,"1,659 sqft","3,399 sqft",,Asphalt Shingle,Vinyl,Poured Concrete,"Undeveloped, Full, Walkout","Tile, Hardwood","Baseboard, Forced Air, Heat Pump, Fireplace, In Floor, Ducted Cooling",,,Electric,Municipal,Municipal,"No, None",Paved,No,,Sump Pump,"Partially Fenced, Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dishwasher, Dryer - Electric, Microwave Rng Hd Combo, Refrigerator, Stove, Washer",Appliances,TV wall mount,None,Royal Lepage Atlantic,Yes,,0,MLS ® Zoning,MLS ® Zoning,Halifax West – Armdale,MONDAY by REgroup,Regional Centre By-Law Code: RC,720800.00,"8,173.89",1.134,04116488,1588,1158,https://www.viewpoint.ca/cutsheet/201906852/1/2582-Elm-Street-Halifax|https://www.viewpoint.ca/cutsheet/4996917/1/2582-Elm-Street-Halifax|https://www.viewpoint.ca/cutsheet/4505067/1/2582-Elm-Street-Halifax|https://www.viewpoint.ca/cutsheet/4145316/1/2582-Elm-Street-Halifax,
https://www.viewpoint.ca/cutsheet/202521596/5/166-Hillside-Drive-Boutiliers-Point,40048654,5,202521596,5,"166 Hillside Drive, Boutiliers Point",1399900,,,,1960200,Land & Acreage,,,,,,,"1,960,200 sqft (45 acres)",,,,,,,,,,,,,,,No,,,,,,,,,Royal Lepage Atlantic,Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,,,,,,,,
https://www.viewpoint.ca/cutsheet/202604115/1/252-Hillside-Drive-Boutiliers-Point,00469635,1,202604115,1,"252 Hillside Drive, Boutiliers Point",619900,3,1,2124,59677,Single Family,Detached,Bungalow,"56'11"" x 41'8""",38,1 / 0,"2,124 sqft","59,677 sqft (1.4 acres)",,Asphalt Shingle,"Wood Siding, Brick, Vinyl",Poured Concrete,Walkout,"Tile, Laminate","Baseboard, Other, Hot Water",,,"Solar, Electric",Drilled Well,Septic,"No, None","Double, Parking Space(s) (flag lot paved driveway)",No,View:  Ocean,Wood Stove(s),"Landscaped, Wooded/Treed","Electrical, Telephone, High Speed Internet","Dishwasher, Other, Range - Electric, Refrigerator",Appliances  shed,,,Re/max Nova (halifax),Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,511300.00,"5,082.32",0.994,01723081,91,81,https://www.viewpoint.ca/cutsheet/202513570/1/252-Hillside-Drive-Boutiliers-Point|https://www.viewpoint.ca/cutsheet/4972650/1/252-Hillside-Drive-Boutiliers-Point,
https://www.viewpoint.ca/cutsheet/202604203/1/1-Ingram-River-Lane-Ingramport,00458182,1,202604203,1,"1 Ingram River Lane, Ingramport",498000,2,1,981,5027,Single Family,Detached,1.5 Level,20` x 24` + JOG,64,1 / 1,981 sqft,"5,027 sqft",,Asphalt Shingle,,Poured Concrete,Undeveloped,"Marble, Ceramic, Softwood","Baseboard, Heat Pump",,,"Wood, Electric",Drilled Well,Septic,"No, None",Gravel,No,View:  River,Wood Stove(s),"Partially Fenced, Cleared, Partial Landscaped","Electrical, Cable, Telephone, High Speed Internet","Dryer, Refrigerator, Stove, Washer","fridge,stove, washer/dryer/ dishwasher",,None,Re/max Nova (halifax),Yes,,0,MLS ® Zoning,MLS ® Zoning,Prospect Road – St. Margarets,MONDAY by Green For Life,Planning Districts 1 & 3 By-Law Code: SMB,313200.00,"3,113.20",0.994,02078023,28,26,https://www.viewpoint.ca/cutsheet/4697791/1/1-Ingram-River-Lane-Ingram|https://www.viewpoint.ca/cutsheet/3272172/1/1-Ingram-River-Lane-Ingramport,
